epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,130.581,0.9929,2.01391,0.01093,0.60902,0.76065,0.73857,0.54296,0.90683,0.90437,0.01338,0.00992063,0.00330688,0.00992063,0.00330688,0.00992063,0.00330688,0.00992063,0.00330688
2,236.53,0.90385,0.95369,0.00991,0.5919,0.618,0.62076,0.44804,0.97892,1.10083,0.01522,0.0197234,0.00657447,0.0197234,0.00657447,0.0197234,0.00657447,0.0197234,0.00657447
3,341.727,0.96689,0.93669,0.01079,0.51082,0.53681,0.48492,0.32537,1.14509,1.64807,0.01855,0.0293282,0.00977607,0.0293282,0.00977607,0.0293282,0.00977607,0.0293282,0.00977607
4,447.534,1.02761,0.99439,0.01161,0.63828,0.66457,0.65798,0.46861,1.08811,1.42369,0.01721,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,553.082,1.00732,0.90295,0.01122,0.76556,0.74879,0.81445,0.588,0.98728,0.78113,0.01496,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,658.498,0.97909,0.83571,0.01076,0.75716,0.74507,0.83194,0.61517,0.95384,0.81906,0.01456,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,764.108,0.94692,0.77841,0.0104,0.78049,0.78507,0.85135,0.63312,0.90621,0.65782,0.01342,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,870.195,0.93179,0.74015,0.01028,0.71034,0.71928,0.77933,0.57773,0.9297,0.75059,0.0138,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,975.502,0.92173,0.72711,0.00991,0.76744,0.78429,0.85275,0.65231,0.89256,0.65501,0.01329,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1080.69,0.89974,0.6791,0.00974,0.62301,0.7345,0.74309,0.55179,0.97398,0.95254,0.01528,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1185.63,0.87367,0.66527,0.00962,0.77722,0.77785,0.85613,0.64733,0.91629,0.64657,0.01381,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1290.82,0.8758,0.65713,0.00946,0.76114,0.81257,0.86072,0.66293,0.86363,0.65174,0.01267,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1396.17,0.86227,0.64235,0.00924,0.78736,0.8177,0.87446,0.66456,0.89963,0.61608,0.01339,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1501.41,0.86009,0.63921,0.00937,0.77596,0.79004,0.85986,0.6669,0.8537,0.61295,0.0124,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1606.29,0.84108,0.61104,0.00899,0.80608,0.80039,0.88431,0.68466,0.86719,0.55927,0.01272,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
